key,display_name,line,launch_year,priority,notes
kefir_lowfat,Lowfat Kefir,kefir,1986,core,Flagship drinkable kefir — multiple flavors; volume backbone
kefir_whole,Whole Milk Kefir,kefir,2015,core,Whole-milk line — rides full-fat dairy trend
kefir_organic,Organic Whole Milk Kefir,kefir,2010,core,Organic premium tier
kefir_cups,Kefir Cups (spoonable),kefir,2019,growth,Greek-yogurt-adjacent spoonable format
protein_kefir,Protein Kefir,kefir,2023,growth,High-protein positioning — gut + protein trend convergence
probugs_kids,ProBugs Kids Kefir,kids,2008,core,Kids pouches — household-penetration driver
plantiful,Plantiful Plant-Based,plant_based,2019,growth,Oat/plant-based kefir extension
oat_kefir,Oat Milk Kefir,plant_based,2021,new,Non-dairy extension — newer SKU
farmer_cheese,Farmer Cheese,cheese,1990,core,Soft cheese flagship
white_cheese,White Cheese (Queso Blanco),cheese,1995,core,Mexican-style soft cheese
sweet_kiss,Sweet Kiss / Krendelek,cheese,1995,growth,Sweet soft-cheese specialty
