month,price,source
2024-01,3.958,BLS APU0000709112
2024-02,3.94,BLS APU0000709112
2024-03,3.893,BLS APU0000709112
2024-04,3.868,BLS APU0000709112
2024-05,3.864,BLS APU0000709112
2024-06,3.956,BLS APU0000709112
2024-07,3.983,BLS APU0000709112
2024-08,4.044,BLS APU0000709112
2024-09,4.021,BLS APU0000709112
2024-10,4.041,BLS APU0000709112
2024-11,4.138,BLS APU0000709112
2024-12,4.101,BLS APU0000709112
2025-01,4.025,BLS APU0000709112
2025-02,4.026,BLS APU0000709112
2025-03,4.05,BLS APU0000709112
2025-04,4.074,BLS APU0000709112
2025-05,4.022,BLS APU0000709112
2025-06,4.029,BLS APU0000709112
2025-07,4.162,BLS APU0000709112
2025-08,4.171,BLS APU0000709112
2025-09,4.129,BLS APU0000709112
2025-11,3.997,BLS APU0000709112
2025-12,4.047,BLS APU0000709112
2026-01,4.1,BLS APU0000709112
2026-02,4.026,BLS APU0000709112
2026-03,4.067,BLS APU0000709112
2026-04,4.136,BLS APU0000709112
