month,class_iii_price,source
2024-06,19.87,USDA AMS Class III (seed)
2024-07,19.79,USDA AMS Class III (seed)
2024-08,22.49,USDA AMS Class III (seed)
2024-09,23.34,USDA AMS Class III (seed)
2024-10,22.94,USDA AMS Class III (seed)
2024-11,21.01,USDA AMS Class III (seed)
2024-12,18.81,USDA AMS Class III (seed)
2025-01,18.36,USDA AMS Class III (seed)
2025-02,20.16,USDA AMS Class III (seed)
2025-03,18.50,USDA AMS Class III (seed)
2025-04,17.48,USDA AMS Class III (seed)
2025-05,18.10,USDA AMS Class III (seed)
2025-06,18.60,USDA AMS Class III (seed)
2025-07,17.80,USDA AMS Class III (seed)
2025-08,17.50,USDA AMS Class III (seed)
2025-09,18.20,USDA AMS Class III (seed)
2025-10,18.80,USDA AMS Class III (seed)
2025-11,19.10,USDA AMS Class III (seed)
2025-12,18.40,USDA AMS Class III (seed)
2026-01,18.00,USDA AMS Class III (seed)
2026-02,17.60,USDA AMS Class III (seed)
2026-03,17.90,USDA AMS Class III (seed)
2026-04,18.30,USDA AMS Class III (seed)
2026-05,18.50,USDA AMS Class III (seed)
